CID,Formula,SMILES,MW,HBA,HBD,TPSA,Heavy_Atoms,Complexity,Energy_AB,Energy_8H,Energy_min,Energy_avg,Energy_diff,split
162403047,C2H5ORb,C[CH-]O.[Rb+],130.53,2,1,20.2,4,6.0,-3.0455924936,-3.0338850118,-3.0455924936,-3.0397387527,0.0117074818000002,train
140354489,CHF2Li,[Li+].[CH-](F)F,58.0,3,0,0.0,4,6.0,-2.5860643553,-2.5874792239,-2.5874792239,-2.5867717896,0.0014148685999999,test
23688916,H2NNaO,N[O-].[Na+],55.012,2,1,49.1,3,4.8,-2.6274041248,-2.6240543587,-2.6274041248,-2.62572924175,0.0033497660999999,train
156024891,CHFILi,[Li+].[CH-](F)I,165.9,2,0,0.0,4,8.0,-2.532690165,-2.5302117994,-2.532690165,-2.5314509822,0.0024783656,train
13132253,CHNaO2,[C-](=O)O.[Na+],68.007,3,1,37.3,4,13.5,-2.7159392364,-2.7124597629,-2.7159392364,-2.7141994996500003,0.0034794735000001,val
11332549,CH2ILi,[Li+].[CH2-]I,147.9,1,0,0.0,3,4.8,-2.5385478043000003,-2.5380917873,-2.5385478043000003,-2.5383197958,0.0004560170000003,train
23718351,CH3BNaO,[B-]OC.[Na+],64.84,2,0,9.2,4,8.0,-2.8333472771,-2.8372432987,-2.8372432987,-2.8352952879,0.0038960216000005,train
23717161,BHNaO,[B-]O.[Na+],50.81,2,1,20.2,3,4.8,-2.5175764272,-2.515796206,-2.5175764272,-2.5166863166,0.0017802211999997,train
10887816,C2H5LiO,[Li+].CO[CH2-],52.0,2,0,9.2,4,6.0,-3.0341373862,-3.0320534078,-3.0341373862,-3.033095397,0.0020839783999999,train
10920438,C2H2LiN,[Li+].[CH2-]C#N,47.0,2,0,23.8,4,32.5,-2.8600393764,-2.8596025089,-2.8600393764,-2.85982094265,0.0004368674999999,train
131664061,CBNNa,[B]=C=[N-].[Na+],59.82,1,0,1.0,4,31.0,-2.6349050187,-2.6169822586,-2.6349050187,-2.62594363865,0.0179227601000002,test
126968433,CH2BNNa,[BH2-]C#N.[Na+],61.84,2,0,23.8,4,34.5,-2.8040292933,-2.7985263719,-2.8040292933,-2.8012778326000003,0.0055029214000001,train
23670141,BrClIRb,Cl[Br-]I.[Rb+],327.73,1,0,0.0,4,8.0,-2.3458007398,-2.3389256322,-2.3458007398,-2.342363186,0.0068751075999999,train
23710048,C2H6BLi,[Li+].[B-](C)C,47.9,1,0,0.0,4,6.0,-3.1073291806,-3.1064455602,-3.1073291806,-3.1068873704,0.0008836204000002,train
18974580,C2H3K,C=[CH-].[K+],66.14,1,0,0.0,3,2.8,-2.7489875945,-2.7482894934,-2.7489875945,-2.7486385439500003,0.0006981010999997,val
71417848,C2H2BLi,[Li+].[B]C=[CH-],43.8,1,0,0.0,4,13.5,-2.7793704673,-2.7802191749,-2.7802191749,-2.7797948211000003,0.0008487075999998,train
161671995,BHNaO2,[B](O)[O-].[Na+],66.81,2,1,43.3,4,6.0,-2.7145659763,-2.7116012225,-2.7145659763,-2.7130835994,0.0029647538000001,train
101102651,CHLiN2,[Li+].C(#N)[NH-],48.0,2,1,24.8,4,32.5,-2.7840175397,-2.7860632287,-2.7860632287,-2.7850403842,0.0020456889999995,train
85789303,C2H4LiN,[Li+].[CH2-]N=C,49.0,2,0,12.4,4,13.5,-2.9926051917,-2.9947246688,-2.9947246688,-2.99366493025,0.0021194770999999,train
11789120,H3N2Na,N[NH-].[Na+],54.027,2,2,27.0,3,2.8,-2.7336821379000003,-2.7228068376,-2.7336821379000003,-2.72824448775,0.0108753003000003,val
153488305,BFNa,[B-]F.[Na+],52.8,2,0,0.0,3,4.8,-2.3910616649,-2.3864073885,-2.3910616649,-2.3887345267,0.0046542764000001,test
10964389,C3H5Li,[Li+].CC=[CH-],48.0,1,0,0.0,4,10.8,-3.0812715576,-3.0832241974,-3.0832241974,-3.0822478775,0.0019526397999998,train
23670966,BrClIRb,Cl[I-]Br.[Rb+],327.73,1,0,0.0,4,8.0,-2.3434045663000003,-2.3398164151,-2.3434045663000003,-2.3416104907,0.0035881512000002,train
10942334,CH3NaO,C[O-].[Na+],54.024,1,0,23.1,3,4.8,-2.7352028325,-2.7350520612,-2.7352028325,-2.73512744685,0.0001507712999995,val
59940102,BKN2,[B]N=[N-].[K+],77.93,2,0,13.4,4,13.5,-2.5925004635,-2.6016918277000003,-2.6016918277000003,-2.5970961456,0.0091913642000003,val
153438324,B2Rb,[B-][B].[Rb+],107.09,1,0,0.0,3,2.8,-2.3553431662,-2.3647717055,-2.3647717055,-2.36005743585,0.0094285392999999,train
15162395,C3H7Na,CC[CH2-].[Na+],66.08,1,0,0.0,4,3.2,-3.2428760209000003,-3.2264134676,-3.2428760209000003,-3.23464474425,0.0164625533000006,train
141177219,CH3LiN2,[Li+].C(=N)[NH-],50.0,2,2,24.9,4,13.5,-2.9298941816,-2.9304704485000004,-2.9304704485000004,-2.93018231505,0.0005762669000004,train
171720340,BrHNNaO,[N-]=BrO.[Na+],133.91,2,1,21.2,4,15.5,-2.5573292785,-2.5467796066,-2.5573292785,-2.55205444255,0.0105496719000002,val
101615927,C2H2NNa,C=C=[N-].[Na+],63.03,1,0,1.0,4,29.0,-2.8600409692,-2.8597504221000003,-2.8600409692,-2.85989569565,0.0002905470999996,test
23564021,CH3KN2,CN=[N-].[K+],82.147,2,0,13.4,4,13.5,-2.891379285,-2.8898693168,-2.891379285,-2.8906243009,0.0015099681999997,train
145797293,CH4KNO,C([NH-])O.[K+],85.147,2,2,21.2,4,8.0,-2.9728214932,-2.9769740319,-2.9769740319,-2.9748977625499995,0.0041525387,val
154083898,C2H6NNa,CN[CH2-].[Na+],67.07,2,1,12.0,4,6.0,-3.139582744,-3.1425834617,-3.1425834617,-3.14108310285,0.0030007176999995,train
168867702,CH2BrLiO,[Li+].[CH-](O)Br,116.9,2,1,20.2,4,8.0,-2.6795245417,-2.6731437996,-2.6795245417,-2.67633417065,0.0063807421000001,val
11789119,C3H5Li,[Li+].C[C-]=C,48.0,1,0,0.0,4,10.8,-3.0828779243000004,-3.079346366,-3.0828779243000004,-3.08111214515,0.0035315583000006,train
20223730,H2NNaO,[NH-]O.[Na+],55.012,2,2,21.2,3,4.8,-2.6135202078,-2.6203764859,-2.6203764859,-2.61694834685,0.0068562781000003,train
129646904,CH3N2Na,[C-](=N)N.[Na+],66.038,2,2,49.9,4,13.5,-2.9209990059,-2.9207457726,-2.9209990059,-2.9208723892500004,0.0002532333,test
23674609,CH6BLi,[Li+].[BH3-]C,35.8,1,0,0.0,3,4.8,-2.9431492753,-2.944861367,-2.944861367,-2.94400532115,0.0017120916999999,train
129836041,C2H3LiO,[Li+].C1[CH-]O1,50.0,2,0,12.5,4,15.5,-2.8619543535000003,-2.8629723779,-2.8629723779,-2.8624633657,0.0010180243999995,train
158529849,H2LiNO2,[Li+].[NH-]OO,55.0,3,2,30.5,4,6.0,-2.7393161507,-2.7411663819,-2.7411663819,-2.7402412663,0.0018502311999997,train
11829362,CHCl2Li,[Li+].[CH-](Cl)Cl,90.9,1,0,0.0,4,6.0,-2.5213241564,-2.5217613861,-2.5217613861,-2.52154277125,0.0004372297000001,test
23676566,KO2,[O-][O].[K+],71.097,1,0,24.1,3,2.8,-2.4080800944000003,-2.4055640173,-2.4080800944000003,-2.40682205585,0.0025160771000001,val
172165965,BHKNO,[B-]=NO.[K+],80.93,3,1,32.6,4,15.5,-2.6521646261000003,-2.6555275624,-2.6555275624,-2.6538460942500004,0.0033629362999998,train
129668209,CH2LiNO,[Li+].[C-](=O)N,51.0,2,1,43.1,4,15.5,-2.8295244413,-2.8295868743,-2.8295868743,-2.8295556578000003,6.24329999996398e-05,train
162457270,BHKN,[B-]=N.[K+],64.93,2,1,23.9,3,4.8,-2.5580827386,-2.5573822812,-2.5580827386,-2.5577325099,0.0007004573999997,val
22606574,C2H4BrLi,[Li+].C[CH-]Br,114.9,1,0,0.0,4,6.0,-2.8623709024,-2.8740248374,-2.8740248374,-2.8681978699,0.011653935,train
11126171,C3H5Li,[Li+].C1C[CH-]1,48.0,1,0,0.0,4,10.8,-3.0741801783,-3.0583941054,-3.0741801783,-3.06628714185,0.0157860728999996,train
23665760,ClNaO,[O-]Cl.[Na+],74.44,1,0,23.1,3,4.8,-2.3598609439,-2.3604721014,-2.3604721014,-2.36016652265,0.0006111574999998,test
